company_name,company_number,company_status,company_type,company_subtype,kind,links,date_of_creation,registered_office_address,sic_codes
GILDERSOME GOSHAWKS BASKETBALL CLUB CIC,14514300,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/14514300'},2022-11-29,"{'address_line_1': '39 East View', 'address_line_2': 'Morley', 'locality': 'Leeds', 'postal_code': 'LS27 7HP', 'country': 'England'}","['85510', '93199']"
HEALING THROUGH STYLE CIC,07840849,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/07840849'},2011-11-09,"{'address_line_1': '90 Potternewton Lane', 'locality': 'Leeds', 'postal_code': 'LS7 3DH', 'country': 'United Kingdom'}",['90030']
SPORTING HERITAGE COMMUNITY INTEREST COMPANY,08190081,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/08190081'},2012-08-23,"{'address_line_1': '49 Wesley Road', 'locality': 'Leeds', 'postal_code': 'LS28 6EJ', 'region': 'West Yorkshire'}",['85520']
SOUTHERN AFRICAN ACADEMY OF PHARMACY CIC,13760381,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/13760381'},2021-11-23,"{'address_line_1': '17 Austhorpe Road', 'locality': 'Leeds', 'postal_code': 'LS15 8BA', 'country': 'England'}","['85600', '86900', '94120', '99000']"
KIDZ COME FIRST C.I.C.,11697133,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/11697133'},2018-11-26,"{'address_line_1': '21 Hyde Park Road', 'locality': 'Leeds', 'postal_code': 'LS6 1PY', 'region': 'West Yorkshire', 'country': 'England'}","['85600', '88910']"
LUV JESUS MINISTRIES CIC,10887312,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/10887312'},2017-07-27,"{'address_line_1': 'Flat A 307 Chapeltown Road', 'address_line_2': 'Chapeltown', 'locality': 'Leeds', 'postal_code': 'LS7 3HD', 'region': 'West Yorkshire'}",['88990']
BSIDES LEEDS CONF CIC,15053231,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15053231'},2023-08-07,"{'address_line_1': '5 Reedsdale Avenue', 'address_line_2': 'Morley', 'locality': 'Leeds', 'postal_code': 'LS27 7JE', 'country': 'England'}",['82302']
DJURTUS UNITED CIC,15947661,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15947661'},2024-09-10,"{'address_line_1': '173 Wykebeck Valley Road', 'locality': 'Leeds', 'postal_code': 'LS9 6PE', 'country': 'England'}",['85510']
THE PERFORMANCE ENSEMBLE CIC,10931838,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/10931838'},2017-08-24,"{'address_line_1': 'Dale House 64 Fink Hill', 'address_line_2': 'Horsforth', 'locality': 'Leeds', 'postal_code': 'LS18 4DH', 'country': 'England'}",['90010']
ZIGZAGLEEDS C.I.C.,08197213,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/08197213'},2012-08-31,"{'address_line_1': '12 Aspen Mount', 'address_line_2': 'Cookridge', 'locality': 'Leeds', 'postal_code': 'LS16 6RT', 'region': 'West Yorkshire'}",['47799']
FOREVER A CHILD CIC,14548750,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/14548750'},2022-12-19,"{'address_line_1': '141 Thorpe Road', 'locality': 'Leeds', 'postal_code': 'LS10 4DW', 'country': 'England'}","['85590', '86900', '90030']"
YPA WELLBEING CIC,15960199,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15960199'},2024-09-17,"{'address_line_1': '3 Brookhill Avenue', 'locality': 'Leeds', 'postal_code': 'LS17 8QA', 'country': 'England'}",['85510']
WEDIDIT HOUSING ASSOCIATION CIC,13723377,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/13723377'},2021-11-04,"{'address_line_1': 'Madison Offices Radley House', 'address_line_2': 'Richardshaw Road', 'locality': 'Leeds', 'postal_code': 'LS28 6LE', 'country': 'United Kingdom'}",['68201']
MALTHUSIAN TRAPPIST CIC,13104524,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/13104524'},2020-12-30,"{'address_line_1': '44 Solar Avenue', 'locality': 'Leeds', 'postal_code': 'LS9 8FF', 'country': 'England'}","['46342', '47110']"
THE BRITISH MUSLIM FORUM C.I.C.,14967364,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/14967364'},2023-06-28,"{'address_line_1': '30 Sholebroke View', 'locality': 'Leeds', 'postal_code': 'LS7 3HQ', 'country': 'England'}","['70210', '85600', '88990', '94910']"
MUSIC AT HEART CIC,15012883,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15012883'},2023-07-19,"{'address_line_1': '49 Roundhay Grove', 'locality': 'Leeds', 'postal_code': 'LS8 4DR', 'country': 'England'}","['85100', '85200']"
HOONER KELAH MINORITY ETHNIC WOMEN'S TRAINING PROJECT COMMUNITY INTEREST COMPANY,05997459,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/05997459'},2006-11-14,"{'address_line_1': 'Hamara Healthy Living Centre Tempest Road', 'address_line_2': 'Beeston', 'locality': 'Leeds', 'postal_code': 'LS11 6RD', 'region': 'West Yorkshire'}",['85590']
WHISKERS NOT FOR PROFIT CIC,10904866,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/10904866'},2017-08-08,"{'address_line_1': '12b Austhorpe Road', 'address_line_2': 'Crossgates', 'locality': 'Leeds', 'postal_code': 'LS15 8DX', 'country': 'England'}",['47799']
WILDER HORIZONS CIC,15879712,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15879712'},2024-08-06,"{'address_line_1': '20 Mill Pond Grove', 'locality': 'Leeds', 'postal_code': 'LS6 4RD', 'country': 'England'}","['85510', '93290']"
GYMNASTICS ELITE COACHING COMPANY CIC,08980062,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/08980062'},2014-04-04,"{'address_line_1': 'Glenewes House Gate Way Drive', 'address_line_2': 'Yeadon', 'locality': 'Leeds', 'postal_code': 'LS19 7XY', 'region': 'West Yorkshire', 'country': 'United Kingdom'}",['94990']
ROMA VOICE CONNECT C.I.C.,15893439,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15893439'},2024-08-13,"{'address_line_1': '20 Florence Grove', 'locality': 'Leeds', 'postal_code': 'LS9 7AN', 'country': 'England'}","['85520', '88990', '93290', '94910']"
YORKSHIRE LIFE AQUATIC C.I.C.,09471542,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/09471542'},2015-03-04,"{'address_line_1': 'Bramley Baths Broad Lane', 'address_line_2': 'Bramley', 'locality': 'Leeds', 'postal_code': 'LS13 3DF', 'region': 'West Yorkshire', 'country': 'United Kingdom'}","['85510', '90010']"
MILIM CIC,10886269,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/10886269'},2017-07-27,"{'address_line_1': 'Ground Floor', 'address_line_2': '6 Queen Street', 'locality': 'Leeds', 'postal_code': 'LS1 2TW', 'region': 'West Yorkshire', 'country': 'England'}","['85520', '90010', '90020', '90030']"
NORTHLIGHT ARTS CENTRE COMMUNITY INTEREST COMPANY,14945589,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/14945589'},2023-06-19,"{'address_line_1': '31 Potternewton Lane', 'locality': 'Leeds', 'postal_code': 'LS7 3LW', 'country': 'England'}","['85520', '90030', '90040']"
IGBO UNION YORKSHIRE CIC,12488603,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/12488603'},2020-02-28,"{'address_line_1': 'Blackburn Hall Community Centre Commercial Street', 'address_line_2': 'Rothwell', 'locality': 'Leeds', 'postal_code': 'LS26 0AX', 'country': 'United Kingdom'}","['85520', '94990']"
IN TOUCH HEALTH AND HEALING CIC,08446873,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/08446873'},2013-03-15,"{'address_line_1': 'Chapeltown Community Nursery', 'address_line_2': 'Reginald Street', 'locality': 'Leeds', 'postal_code': 'LS7 3HL', 'country': 'England'}",['96040']
MBR OCCUPATIONAL THERAPY AND WELLBEING CIC,14695129,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/14695129'},2023-02-28,"{'address_line_1': '11 Willow Tree Close', 'locality': 'Leeds', 'postal_code': 'LS11 5AA', 'country': 'England'}",['86900']
FOOD REVIVAL CIC,08809376,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/08809376'},2013-12-10,"{'address_line_1': 'Unit 5  Maple Park,', 'address_line_2': 'Lowfields Avenue', 'locality': 'Leeds', 'postal_code': 'LS12 6HH', 'country': 'England'}",['56290']
FIND A WAY: PSYCHOLOGICAL SERVICES CIC,15992869,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15992869'},2024-10-02,"{'address_line_1': '19 Shaw Lane', 'address_line_2': 'Headingley', 'locality': 'Leeds', 'postal_code': 'LS6 4DH', 'country': 'United Kingdom'}",['86900']
SKILL HER UP CIC,15777988,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15777988'},2024-06-14,"{'address_line_1': 'Shine Harehills Road', 'address_line_2': '(Box 31)', 'locality': 'Leeds', 'postal_code': 'LS8 5HS', 'country': 'England'}","['62090', '78300', '85590', '88990']"
STITCH-UP CIC,09404176,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/09404176'},2015-01-23,"{'address_line_1': 'Meanwood Community Centre Stainbeck Avenue', 'address_line_2': 'Meanwood', 'locality': 'Leeds', 'postal_code': 'LS7 2QU', 'country': 'England'}",['90040']
BASEMENTARTSPROJECT CIC,13841298,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/13841298'},2022-01-11,"{'address_line_1': '28 Burton Terrace', 'locality': 'Leeds', 'postal_code': 'LS11 5JH', 'country': 'England'}",['90040']
UNITY THROUGH MUSIC C.I.C.,14671046,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/14671046'},2023-02-17,"{'address_line_1': '27 Penraevon Street', 'address_line_2': 'Penraevon Industrial Estate', 'locality': 'Leeds', 'postal_code': 'LS7 2AW', 'country': 'England'}","['59200', '82990', '85590', '90020']"
LEMON BALM THERAPEUTIC HORTICULTURE COMMUNITY INTEREST COMPANY,09740573,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/09740573'},2015-08-19,"{'address_line_1': 'Meanwood Valley Urban Farm Sugar Well Road', 'address_line_2': 'Meanwood', 'locality': 'Leeds', 'postal_code': 'LS7 2QG', 'country': 'England'}",['96040']
AFFORDABLE WARMTH SOLUTIONS CIC,06778194,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/06778194'},2008-12-22,"{'address_line_1': 'Wrigleys Solicitors Llp', 'address_line_2': '3rd Floor, 3 Wellington Place', 'locality': 'Leeds', 'postal_code': 'LS1 4AP', 'country': 'England'}",['96090']
LEEDS POLISH PARISH SHOP COMMUNITY INTEREST COMPANY,06130408,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/06130408'},2007-02-27,"{'address_line_1': 'Polish Catholic Centre', 'address_line_2': 'Newton Hill Road', 'locality': 'Leeds', 'postal_code': 'LS7 4JE', 'region': 'West Yorkshire'}","['47220', '47240', '47250', '47290']"
INTERNATIONAL ASSOCIATION OF CIVIL AVIATION CHAPLAINS CIC,12348175,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/12348175'},2019-12-04,"{'address_line_1': '5 Kingsway Court', 'locality': 'Leeds', 'postal_code': 'LS17 6SS', 'country': 'United Kingdom'}",['94120']
PRESCQIPP C.I.C.,09814012,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/09814012'},2015-10-07,"{'address_line_1': '6 Queen Street', 'locality': 'Leeds', 'postal_code': 'LS1 2TW', 'country': 'England'}","['70229', '74909', '86900']"
CHILDREN OF AFRICA RESCUE ORGANIZATION CIC,14460250,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/14460250'},2022-11-03,"{'address_line_1': '38 Halton Moor Avenue', 'locality': 'Leeds', 'postal_code': 'LS9 0EX', 'country': 'England'}",['87200']
SEASON WELL CIC,13111120,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/13111120'},2021-01-04,"{'address_line_1': '3 South View', 'address_line_2': 'Guiseley', 'locality': 'Leeds', 'postal_code': 'LS20 9AY', 'country': 'England'}","['01130', '01250', '56210', '85590']"
CLIMATE INNOVATION DISTRICT 216 CIC,14016910,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/14016910'},2022-03-31,"{'address_line_1': 'The Place 4 Central Place', 'address_line_2': 'Climate Innovation District, Clarence Road', 'locality': 'Leeds', 'postal_code': 'LS10 1FB', 'region': 'West Yorkshire', 'country': 'United Kingdom'}",['68320']
COMMUNITY OF KELHAM CENTRAL CIC,13702424,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/13702424'},2021-10-25,"{'address_line_1': '4 Central Place', 'address_line_2': 'Climate Innovation District', 'locality': 'Leeds', 'postal_code': 'LS10 1FB', 'region': 'West Yorkshire', 'country': 'United Kingdom'}",['68320']
LEEDS COMETS CIC,16032713,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/16032713'},2024-10-21,"{'address_line_1': '1 Graham Terrace', 'locality': 'Leeds', 'postal_code': 'LS4 2ND', 'country': 'England'}",['93120']
THE KNOWLEDGE PROJECT CIC,13303057,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/13303057'},2021-03-30,"{'address_line_1': '50 Broadlea Crescent', 'locality': 'Leeds', 'postal_code': 'LS13 2JS', 'country': 'England'}","['85520', '96040', '96090']"
ROOTS COMMUNITY GARDENING CIC,07239860,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/07239860'},2010-04-30,"{'address_line_1': '39 Hartley Avenue', 'address_line_2': 'Woodhouse', 'locality': 'Leeds', 'postal_code': 'LS6 2LW', 'region': 'West Yorkshire'}",['81300']
QUEENSHILL TENANTS ASSOCIATION CIC,13916039,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/13916039'},2022-02-15,"{'address_line_1': '49 Queenshill Drive', 'locality': 'Leeds', 'postal_code': 'LS17 6BG', 'country': 'England'}","['01250', '71112', '85590', '93290']"
UMOJALEEDS CIC,13892605,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/13892605'},2022-02-03,"{'address_line_1': '7 Lincoln Road', 'locality': 'Leeds', 'postal_code': 'LS9 7NP', 'country': 'England'}",['85510']
EAST LEEDS PROJECT C.I.C.,11746322,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/11746322'},2019-01-02,"{'address_line_1': 'Fearnville Leisure Centre', 'address_line_2': 'Oakwood Lane', 'locality': 'Leeds', 'postal_code': 'LS8 3LF', 'country': 'England'}","['90030', '90040']"
PALM COVE SOCIETY COMMUNITY INTEREST COMPANY,06149171,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/06149171'},2007-03-09,"{'address_line_1': '26 St. Michaels Road', 'address_line_2': 'Headingley', 'locality': 'Leeds', 'postal_code': 'LS6 3AW', 'region': 'West Yorkshire'}","['55900', '86900', '88990']"
RANI CARE C.I.C.,08318048,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/08318048'},2012-12-04,"{'address_line_1': '43 Chandos Gardens', 'locality': 'Leeds', 'postal_code': 'LS8 1LP'}",['88990']
CLIMATE INNOVATION DISTRICT 247 CIC,13963412,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/13963412'},2022-03-08,"{'address_line_1': '4 Central Place', 'address_line_2': 'Climate Innovation District', 'locality': 'Leeds', 'postal_code': 'LS10 1FB', 'region': 'West Yorkshire', 'country': 'United Kingdom'}",['68320']
LEEDS CARIBBEAN AND AFRICAN CENTRE CIC,15194101,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15194101'},2023-10-06,"{'address_line_1': '10 Laycock Place', 'locality': 'Leeds', 'postal_code': 'LS7 3JA', 'country': 'England'}",['94990']
CPR COMMUNITY INTEREST GROUP C.I.C.,13151888,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/13151888'},2021-01-22,"{'address_line_1': '173 Lidgett Lane', 'locality': 'Leeds', 'postal_code': 'LS8 1RB', 'country': 'England'}","['72200', '85600']"
AUTISM ARENA CIC,15440227,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15440227'},2024-01-24,"{'address_line_1': 'Shine Box 53', 'address_line_2': 'Harehills Road', 'locality': 'Leeds', 'postal_code': 'LS8 5HS', 'region': 'W Yorks', 'country': 'United Kingdom'}","['85590', '86900']"
ORCLUI CIC,16106991,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/16106991'},2024-11-28,"{'address_line_1': '17 Bismarck Way', 'locality': 'Leeds', 'postal_code': 'LS11 6FA', 'country': 'England'}","['63990', '85590']"
AMARI GLOW & PLAY CIC,15215550,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15215550'},2023-10-17,"{'address_line_1': '165 Ramshead Drive', 'address_line_2': 'Seacroft', 'locality': 'Leeds', 'postal_code': 'LS14 1BS', 'region': 'West Yorkshire', 'country': 'United Kingdom'}",['88910']
CMOWELLBEING CIC,16208923,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/16208923'},2025-01-27,"{'address_line_1': '23-29 Sandy Way', 'address_line_2': 'Yeadon', 'locality': 'Leeds', 'postal_code': 'LS19 7EW', 'country': 'England'}",['86900']
OPENEHR UK FOUNDATION CIC,15478308,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15478308'},2024-02-10,"{'address_line_1': '10-12 East Parade', 'locality': 'Leeds', 'postal_code': 'LS1 2BH', 'country': 'England'}",['58190']
GUISELEY THEATRE COMMUNITY INTEREST COMPANY,11947962,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/11947962'},2019-04-15,"{'address_line_1': 'Guiseley Theatre', 'address_line_2': 'The Green', 'locality': 'Leeds', 'postal_code': 'LS20 9BT', 'region': 'West Yorkshire'}",['82990']
GUIDANCE & KNOWLEDGE WELFARE ACADEMY CIC,16063767,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/16063767'},2024-11-06,"{'address_line_1': 'Gipton North Childrens Centre', 'address_line_2': 'Thorn Walk', 'locality': 'Leeds', 'postal_code': 'LS8 3LP', 'country': 'England'}","['85520', '85590', '85600', '94910']"
CARIBBEAN CRICKET CLUB C.I.C.,15296959,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15296959'},2023-11-20,"{'address_line_1': 'Caribbean Cricket Club', 'address_line_2': 'Scot Hall Road', 'locality': 'Leeds', 'postal_code': 'LS7 2HH', 'region': 'West Yorkshire', 'country': 'United Kingdom'}","['85510', '93120', '93199']"
INCUBATING ARTS CIC,11864707,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/11864707'},2019-03-06,"{'address_line_1': 'Patrick Studios', 'address_line_2': ""St Mary's Lane"", 'locality': 'Leeds', 'postal_code': 'LS9 7EH', 'region': 'West Yorkshire'}","['85520', '90030']"
FUTURES OURS CIC,13864291,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/13864291'},2022-01-21,"{'address_line_1': '110 Bayswater Place', 'locality': 'Leeds', 'postal_code': 'LS8 5LS', 'country': 'England'}","['59200', '90010', '90020']"
CAPF CIC,15329070,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15329070'},2023-12-05,"{'address_line_1': 'Unity Business Centre', 'address_line_2': '26 Roundhay Road', 'locality': 'Leeds', 'postal_code': 'LS7 1AB', 'country': 'England'}",['70229']
UNBOUND DANCE THEATRE CIC,15257888,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15257888'},2023-11-03,"{'address_line_1': 'Flat 26 1 Dock Street', 'locality': 'Leeds', 'postal_code': 'LS10 1NA', 'country': 'England'}","['85520', '90010', '90020', '96040']"
LEEDS POETRY FESTIVAL CIC,16061539,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/16061539'},2024-11-05,"{'address_line_1': '5 Otley Road', 'locality': 'Leeds', 'postal_code': 'LS6 3AA', 'country': 'England'}",['90020']
METHLEY UNITED AFC CIC,15335186,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15335186'},2023-12-08,"{'address_line_1': '8 Green Row', 'address_line_2': 'Methley', 'locality': 'Leeds', 'postal_code': 'LS26 9BS', 'country': 'England'}",['93199']
"""ONE BRITAIN ONE NATION"" OBON COMMUNITY INTEREST COMPANY",08558863,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/08558863'},2013-06-06,"{'address_line_1': '5 Ivegate', 'address_line_2': 'Yeadon', 'locality': 'Leeds', 'postal_code': 'LS19 7RE'}",['82990']
PHOTO NORTH FESTIVAL COMMUNITY INTEREST COMPANY,12156847,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/12156847'},2019-08-14,"{'address_line_1': 'Hearts', 'address_line_2': 'Bennett Road', 'locality': 'Leeds', 'postal_code': 'LS6 3HN', 'country': 'England'}",['94990']
UNITY LEEDS CIC,16135077,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/16135077'},2024-12-13,"{'address_line_1': '94 Town Street', 'address_line_2': 'Horsforth', 'locality': 'Leeds', 'postal_code': 'LS18 4AP', 'country': 'England'}","['85590', '90020', '94990']"
PANICLAB C.I.C.,08823038,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/08823038'},2013-12-20,"{'address_line_1': '14 Aviary Place', 'locality': 'Leeds', 'postal_code': 'LS12 2NP', 'country': 'United Kingdom'}",['90010']
LEARNING OPPORTUNITIES VIA EJHAZ CIC,13946191,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/13946191'},2022-03-01,"{'address_line_1': '100 Easterly Road', 'locality': 'Leeds', 'postal_code': 'LS8 3AN', 'country': 'England'}",['86900']
BEAM WORKS CIC,11485871,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/11485871'},2018-07-26,"{'address_line_1': '5 Otley Road 5 Otley Road', 'address_line_2': 'Headingley', 'locality': 'Leeds', 'postal_code': 'LS6 3AA', 'region': 'West Yorkshire', 'country': 'United Kingdom'}","['47789', '82990', '85520']"
THE IMAGINARIUM LEEDS CIC,13179444,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/13179444'},2021-02-04,"{'address_line_1': '3 Church Walk', 'locality': 'Leeds', 'postal_code': 'LS2 7EG', 'country': 'England'}","['59200', '90020', '90040', '96040']"
DITANS COMMUNITY INTEREST COMPANY,15366298,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15366298'},2023-12-21,"{'address_line_1': '8 Ivegate', 'address_line_2': 'Yeadon', 'locality': 'Leeds', 'postal_code': 'LS19 7RE', 'country': 'England'}",['99999']
UNIQUE TALENT CIC,09483853,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/09483853'},2015-03-11,"{'address_line_1': 'Office 010 Upper Wortley Business Centre', 'address_line_2': '127 Upper Wortley Road', 'locality': 'Leeds', 'postal_code': 'LS12 4JG', 'country': 'United Kingdom'}",['84230']
FRIENDS OF PARKINSONS PARK CIC,10044868,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/10044868'},2016-03-04,"{'address_line_1': 'Farnhill Kelcliffe Lane', 'address_line_2': 'Guiseley', 'locality': 'Leeds', 'postal_code': 'LS20 9DE', 'region': 'West Yorkshire'}",['91040']
LEEDS DOCK RUNNING CIC,16190680,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/16190680'},2025-01-17,"{'address_line_1': '206 La Salle Chadwick Street', 'address_line_2': 'Hunslet', 'locality': 'Leeds', 'postal_code': 'LS10 1NW', 'country': 'England'}",['93199']
UNMASKED NEURODIVERSITY NETWORK CIC,15671121,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15671121'},2024-04-23,"{'address_line_1': 'Suite 6 Prospect Park Suite 6 Prospect Park', 'address_line_2': 'Searoft Ring Road', 'locality': 'Leeds', 'postal_code': 'LS14 1NH', 'country': 'England'}","['86900', '87200']"
INSPIRED-NATION CIC,13990732,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/13990732'},2022-03-21,"{'address_line_1': 'Flat 4 12, Springwood Road', 'locality': 'Leeds', 'postal_code': 'LS8 2QA', 'region': 'West Yorkshire', 'country': 'United Kingdom'}",['88990']
SHINE BRIGHT (NS) C.I.C.,11955223,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/11955223'},2019-04-18,"{'address_line_1': '14 Sunset View', 'locality': 'Leeds', 'postal_code': 'LS6 4LR', 'region': 'West Yorkshire', 'country': 'United Kingdom'}",['86900']
EFFECTIVE PUBLISHING CIC,10751447,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/10751447'},2017-05-03,"{'address_line_1': '31 Potternewton Lane Chapel Allerton', 'locality': 'Leeds', 'postal_code': 'LS7 3LW', 'country': 'England'}","['58120', '58130', '58190', '58290']"
LEEDS PALESTINIAN FILM FESTIVAL COMMUNITY INTEREST COMPANY,13377415,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/13377415'},2021-05-05,"{'address_line_1': '9 Henconner Grove', 'locality': 'Leeds', 'postal_code': 'LS7 3NP', 'country': 'England'}",['85520']
WINGMEN VOLUNTEERS CIC,15685935,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15685935'},2024-04-27,"{'address_line_1': '10 St. Michaels Villas', 'locality': 'Leeds', 'postal_code': 'LS6 3AF', 'country': 'England'}",['86900']
UNITY DOES MAATER CIC,11748335,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/11748335'},2019-01-03,"{'address_line_1': 'C/O Magnet Express Limited Site 19 Manor Street Industrial Estate', 'address_line_2': 'Enfield Avenue', 'locality': 'Leeds', 'postal_code': 'LS7 1QN', 'region': 'West Yorkshire'}",['96090']
SBC SERVICES C.I.C.,13090623,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/13090623'},2020-12-18,"{'address_line_1': '15 Queen Square', 'locality': 'Leeds', 'postal_code': 'LS2 8AJ', 'country': 'England'}",['99999']
WE ARE CORE COMMUNITY INTEREST COMPANY,13429365,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/13429365'},2021-05-31,"{'address_line_1': '16 Far Fold Lane', 'locality': 'Leeds', 'postal_code': 'LS12 3UE', 'region': 'West Yorkshire'}","['55900', '56290', '85600', '87200']"
